/Q15 X,/Q15 Y,/Q14 X,/Q14 Y,/Q13 X,/Q13 Y,/Q12 X,/Q12 Y,/Q11 X,/Q11 Y,/Q10 X,/Q10 Y,/Q9 X,/Q9 Y,/Q8 X,/Q8 Y,/Q7 X,/Q7 Y,/Q6 X,/Q6 Y,/Q5 X,/Q5 Y,/Q4 X,/Q4 Y,/Q3 X,/Q3 Y,/Q2 X,/Q2 Y,/Q1 X,/Q1 Y,/Q0 X,/Q0 Y
8.100000000000001e-08,4.769173537690983e-08,8.100000000000001e-08,4.499431426169047e-08,8.100000000000001e-08,4.499763652345857e-08,8.100000000000001e-08,4.499330422286358e-08,8.100000000000001e-08,4.499734898606711e-08,8.100000000000001e-08,4.49996779898771e-08,8.100000000000001e-08,4.499964022576939e-08,8.100000000000001e-08,4.498507223752111e-08,8.100000000000001e-08,4.498568913752264e-08,8.100000000000001e-08,4.498529899670549e-08,8.100000000000001e-08,4.499601501038737e-08,8.100000000000001e-08,4.498322587376798e-08,8.100000000000001e-08,4.498312785523406e-08,8.100000000000001e-08,4.498518690581983e-08,8.100000000000001e-08,1.799999931154078,8.100000000000001e-08,4.591569925471063e-08
8.950000000000001e-08,1.799999940872926,8.950000000000001e-08,1.79999994157321,8.950000000000001e-08,2.70608968379603e-09,8.950000000000001e-08,1.799999941572884,8.950000000000001e-08,1.799999941573515,8.950000000000001e-08,2.704120416688469e-09,8.950000000000001e-08,2.706165444601851e-09,8.950000000000001e-08,1.799999941573042,8.950000000000001e-08,1.799999941573153,8.950000000000001e-08,2.706586485347092e-09,8.950000000000001e-08,2.70748213547445e-09,8.950000000000001e-08,2.708654372112284e-09,8.950000000000001e-08,2.708199364769942e-09,8.950000000000001e-08,2.709185544311482e-09,8.950000000000001e-08,3.375035541520058e-09,8.950000000000001e-08,1.799999942780583
9.800000000000002e-08,-1.295117339027475e-07,9.800000000000002e-08,-1.724080697160903e-07,9.800000000000002e-08,2.550804066628143e-08,9.800000000000002e-08,-1.724012633491068e-07,9.800000000000002e-08,-1.72399546310026e-07,9.800000000000002e-08,2.550989397687356e-08,9.800000000000002e-08,2.550895157281654e-08,9.800000000000002e-08,-1.724076558478655e-07,9.800000000000002e-08,-1.724074421825124e-07,9.800000000000002e-08,2.550645151766208e-08,9.800000000000002e-08,2.550405292439987e-08,9.800000000000002e-08,2.550279583100625e-08,9.800000000000002e-08,2.550361940359133e-08,9.800000000000002e-08,2.550335967080231e-08,9.800000000000002e-08,2.465332634979564e-08,9.800000000000002e-08,-1.571717092654692e-07
1.065e-07,3.226802038223669e-08,1.065e-07,3.001040787225445e-08,1.065e-07,3.00105320665417e-08,1.065e-07,3.000820080337409e-08,1.065e-07,3.001323168568782e-08,1.065e-07,3.00125291835719e-08,1.065e-07,3.001045952431261e-08,1.065e-07,3.001002299862348e-08,1.065e-07,3.001021529736489e-08,1.065e-07,3.001005261611601e-08,1.065e-07,3.000897899775543e-08,1.065e-07,3.000785171327467e-08,1.065e-07,3.000846401694672e-08,1.065e-07,3.000729338038729e-08,1.065e-07,2.927235977533002e-08,1.065e-07,1.799999945323578
1.15e-07,1.861457834801208e-08,1.15e-07,1.656736903894414e-08,1.15e-07,1.657148639896782e-08,1.15e-07,1.657279767527234e-08,1.15e-07,1.657416882382204e-08,1.15e-07,1.657296291752965e-08,1.15e-07,1.657221803189171e-08,1.15e-07,1.656767428664027e-08,1.15e-07,1.656785320173441e-08,1.15e-07,1.657010107498613e-08,1.15e-07,1.656829767655709e-08,1.15e-07,1.656718297312173e-08,1.15e-07,1.656784358347393e-08,1.15e-07,1.656764934617769e-08,1.15e-07,1.581942915277288e-08,1.15e-07,-1.273080026603669e-07
1.235e-07,2.349020778230648e-08,1.235e-07,2.433598661548678e-08,1.235e-07,2.433582390738301e-08,1.235e-07,2.433587240139664e-08,1.235e-07,2.433291415593742e-08,1.235e-07,2.433384124532224e-08,1.235e-07,2.433466617685281e-08,1.235e-07,2.433578761578168e-08,1.235e-07,2.433578445685332e-08,1.235e-07,2.43360598769417e-08,1.235e-07,2.433683858293849e-08,1.235e-07,2.433741576789497e-08,1.235e-07,2.433718267076881e-08,1.235e-07,2.433779333429568e-08,1.235e-07,2.469229213453175e-08,1.235e-07,1.800000137417556
1.32e-07,4.258068747956563e-08,1.32e-07,4.21206668741359e-08,1.32e-07,4.212082327506821e-08,1.32e-07,4.212088864891586e-08,1.32e-07,4.212013025386467e-08,1.32e-07,4.212039319017799e-08,1.32e-07,4.212040886237084e-08,1.32e-07,4.212082310491758e-08,1.32e-07,4.21207134651185e-08,1.32e-07,4.212080178455135e-08,1.32e-07,4.212105535407189e-08,1.32e-07,4.21211740827034e-08,1.32e-07,4.212115792129595e-08,1.32e-07,4.212072632077593e-08,1.32e-07,1.799999955941485,1.32e-07,4.253767026346544e-08
1.405e-07,1.395366934574107e-08,1.405e-07,1.393613000894459e-08,1.405e-07,1.393613015622553e-08,1.405e-07,1.393612815216303e-08,1.405e-07,1.39361317814517e-08,1.405e-07,1.393613132274712e-08,1.405e-07,1.393613099697996e-08,1.405e-07,1.393613016346251e-08,1.405e-07,1.393613061568949e-08,1.405e-07,1.393613024065178e-08,1.405e-07,1.393613040324356e-08,1.405e-07,1.393612952511871e-08,1.405e-07,1.393612920378192e-08,1.405e-07,1.393612878369838e-08,1.405e-07,1.799999968430321,1.405e-07,1.799999968297895
